iter	Passed	Remaining
299	1807	4218
300	1815	4216
301	1820	4208
302	1827	4202
303	1831	4193
304	1836	4183
305	1842	4178
306	1847	4169
307	1851	4159
308	1859	4158
309	1864	4149
310	1869	4141
311	1874	4134
312	1880	4126
313	1886	4121
314	1891	4113
315	1897	4106
316	1903	4102
317	1908	4092
318	1913	4084
319	1921	4082
320	1926	4075
321	1931	4067
322	1936	4059
323	1940	4049
324	1946	4043
325	1951	4034
326	1957	4029
327	1965	4027
328	1970	4018
329	1975	4010
330	1982	4007
331	1988	4001
332	1995	3997
333	1999	3987
334	2004	3978
335	2010	3972
336	2014	3963
337	2061	4038
338	2069	4034
339	2074	4027
340	2078	4017
341	2082	4007
342	2088	4000
343	2093	3992
344	2098	3984
345	2104	3977
346	2108	3967
347	2112	3957
348	2115	3946
349	2121	3939
350	2125	3929
351	2132	3925
352	2137	3917
353	2142	3909
354	2146	3900
355	2151	3892
356	2155	3883
357	2161	3875
358	2166	3868
359	2171	3861
360	2177	3854
361	2181	3844
362	2186	3836
363	2192	3830
364	2196	3821
365	2208	3824
366	2211	3815
367	2215	3805
368	2221	3799
369	2228	3793
370	2235	3789
371	2239	3781
372	2243	3772
373	2249	3765
374	2254	3757
375	2258	3748
376	2263	3740
377	2270	3736
378	2275	3728
379	2281	3722
380	2285	3713
381	2289	3703
382	2295	3698
383	2299	3689
384	2306	3683
385	2313	3680
386	2317	3671
387	2321	3662
388	2327	3656
389	2331	3647
390	2335	3638
391	2343	3634
392	2348	3626
393	2352	3618
394	2358	3611
395	2362	3602
396	2366	3595
397	2372	3588
398	2377	3580
399	2381	3571
400	2388	3568
401	2393	3560
402	2398	3552
403	2404	3547
404	2410	3540
405	2415	3534
406	2421	3527
407	2426	3520
408	2431	3513
409	2436	3506
410	2441	3498
411	2445	3489
412	2451	3484
413	2457	3478
414	2464	3474
415	2469	3466
416	2473	3458
417	2479	3451
418	2483	3444
419	2488	3436
420	2493	3429
421	2498	3421
422	2502	3414
423	2507	3406
424	2512	3399
425	2516	3391
426	2520	3382
427	2532	3383
428	2537	3377
429	2542	3370
430	2546	3362
431	2551	3354
432	2557	3349
433	2563	3343
434	2568	3336
435	2575	3331
436	2579	3322
437	2583	3314
438	2589	3308
439	2594	3301
440	2598	3293
441	2605	3289
442	2609	3281
443	2616	3276
444	2620	3268
445	2624	3260
446	2631	3255
447	2636	3249
448	2641	3242
449	2647	3235
450	2651	3227
451	2655	3219
452	2662	3215
453	2668	3209
454	2673	3202
455	2681	3198
456	2685	3191
457	2690	3183
458	2696	3177
459	2701	3171
460	2708	3166
461	2713	3159
462	2717	3152
463	2723	3146
464	2728	3138
465	2732	3131
466	2736	3123
467	2744	3119
468	2748	3112
469	2754	3106
470	2759	3098
471	2763	3090
472	2766	3082
473	2774	3078
474	2779	3072
475	2785	3066
476	2790	3059
477	2794	3051
478	2798	3043
479	2804	3038
480	2809	3031
481	2817	3027
482	2822	3020
483	2826	3013
484	2832	3007
485	2836	3000
486	2840	2992
487	2844	2984
488	2853	2982
489	2859	2976
490	2864	2969
491	2868	2962
492	2872	2954
493	2876	2946
494	2882	2940
495	2888	2934
496	2894	2929
497	2899	2923
498	2904	2916
499	2910	2910
500	2914	2902
501	2919	2896
502	2927	2892
503	2932	2885
504	2936	2878
505	2942	2872
506	2946	2864
507	2950	2857
508	2953	2849
509	2962	2845
510	2967	2839
511	2972	2833
512	2976	2825
513	2980	2818
514	2987	2813
515	2991	2806
516	2995	2798
517	3005	2796
518	3009	2789
519	3017	2785
520	3021	2777
521	3027	2771
522	3035	2768
523	3039	2760
524	3043	2753
525	3048	2747
526	3052	2739
527	3056	2732
528	3060	2725
529	3069	2721
530	3073	2714
531	3079	2709
532	3083	2701
533	3087	2694
534	3091	2686
535	3097	2681
536	3102	2675
537	3109	2670
538	3114	2663
539	3119	2656
540	3125	2651
541	3130	2644
542	3134	2638
543	3140	2632
544	3145	2625
545	3152	2621
546	3159	2616
547	3163	2609
548	3167	2602
549	3173	2596
550	3177	2589
551	3183	2583
552	3191	2579
553	3196	2572
554	3203	2568
555	3208	2562
556	3212	2555
557	3218	2549
558	3225	2544
559	3230	2538
560	3236	2533
561	3241	2525
562	3245	2518
563	3250	2513
564	3255	2506
565	3260	2500
566	3266	2494
567	3272	2488
568	3277	2482
569	3285	2478
570	3289	2471
571	3294	2464
572	3302	2460
573	3306	2454
574	3312	2448
575	3317	2442
576	3321	2435
577	3327	2429
578	3332	2422
579	3338	2417
580	3346	2413
581	3351	2407
582	3357	2401
583	3363	2395
584	3368	2389
585	3375	2384
586	3379	2377
587	3385	2372
588	3393	2368
589	3399	2362
590	3404	2356
591	3412	2351
592	3418	2345
593	3425	2341
594	3429	2334
595	3435	2329
596	3440	2322
597	3447	2317
598	3454	2312
599	3459	2306
600	3464	2300
601	3470	2294
602	3475	2288
603	3480	2281
604	3487	2276
605	3492	2270
606	3498	2265
607	3502	2258
608	3508	2252
609	3513	2246
610	3518	2239
611	3523	2234
612	3531	2229
613	3535	2222
614	3540	2216
615	3549	2212
616	3554	2206
617	3561	2201
618	3565	2194
619	3570	2188
620	3576	2182
621	3581	2176
622	3586	2170
623	3594	2165
624	3599	2159
625	3603	2152
626	3610	2147
627	3614	2141
628	3618	2134
629	3628	2131
630	3633	2124
631	3640	2119
632	3644	2113
633	3648	2106
634	3655	2100
635	3659	2094
636	3666	2089
637	3672	2083
638	3676	2077
639	3680	2070
640	3687	2065
641	3691	2058
642	3695	2051
643	3703	2047
644	3709	2041
645	3715	2036
646	3720	2029
647	3724	2022
648	3728	2016
649	3734	2010
650	3738	2004
651	3742	1997
652	3750	1993
653	3756	1987
654	3762	1981
655	3766	1975
656	3771	1968
657	3775	1962
658	3781	1956
659	3785	1950
660	3790	1943
661	3798	1939
662	3803	1933
663	3809	1927
664	3813	1921
665	3817	1914
666	3821	1907
667	3826	1901
668	3833	1896
669	3839	1890
670	3844	1885
671	3848	1878
672	3854	1872
673	3858	1866
674	3863	1860
675	3868	1853
676	3875	1849
677	3880	1843
678	3887	1837
679	3891	1831
680	3896	1825
681	3901	1819
682	3905	1812
683	3910	1806
684	3916	1801
685	3921	1794
686	3925	1788
687	3928	1781
688	3938	1777
689	3943	1771
690	3950	1766
691	3954	1760
692	3958	1753
693	3964	1748
694	3968	1741
695	3974	1736
696	3982	1731
697	3986	1724
698	3990	1718
699	3996	1712
700	4000	1706
701	4003	1699
702	4009	1694
703	4015	1688
704	4020	1682
705	4026	1676
706	4031	1670
707	4035	1664
708	4042	1659
709	4046	1652
710	4050	1646
711	4058	1641
712	4063	1635
713	4066	1628
714	4070	1622
715	4077	1617
716	4082	1611
717	4088	1605
718	4093	1599
719	4096	1593
720	4100	1586
721	4106	1581
722	4110	1574
723	4116	1569
724	4123	1563
725	4127	1557
726	4130	1551
727	4137	1545
728	4140	1539
729	4144	1532
730	4148	1526
731	4157	1522
732	4163	1516
733	4168	1510
734	4172	1504
735	4176	1498
736	4182	1492
737	4186	1486
738	4189	1479
739	4197	1474
740	4203	1469
741	4207	1463
742	4213	1457
743	4217	1451
744	4221	1444
745	4225	1438
746	4232	1433
747	4237	1427
748	4244	1422
749	4249	1416
750	4253	1410
751	4256	1403
752	4263	1398
753	4267	1392
754	4274	1387
755	4279	1381
756	4284	1375
757	4287	1368
758	4293	1363
759	4298	1357
760	4302	1351
761	4308	1345
762	4314	1340
763	4322	1335
764	4327	1329
765	4332	1323
766	4339	1318
767	4343	1312
768	4347	1305
769	4357	1301
770	4362	1295
771	4366	1289
772	4372	1283
773	4376	1277
774	4380	1271
775	4386	1266
776	4392	1260
777	4398	1255
778	4404	1249
779	4409	1243
780	4414	1238
781	4419	1231
782	4423	1225
783	4429	1220
784	4437	1215
785	4443	1209
786	4448	1203
787	4452	1197
788	4457	1192
789	4462	1186
790	4468	1180
791	4474	1175
792	4544	1186
793	4549	1180
794	4555	1174
795	4564	1169
796	4570	1164
797	4574	1158
798	4580	1152
799	4586	1146
800	4591	1140
801	4595	1134
802	4600	1128
803	4606	1123
804	4613	1117
805	4618	1111
806	4621	1105
807	4627	1099
808	4631	1093
809	4636	1087
810	4639	1081
811	4648	1076
812	4653	1070
813	4658	1064
814	4662	1058
815	4667	1052
816	4671	1046
817	4678	1040
818	4681	1034
819	4688	1029
820	4694	1023
821	4699	1017
822	4703	1011
823	4710	1006
824	4715	1000
825	4720	994
826	4727	988
827	4731	982
828	4737	977
829	4741	971
830	4745	965
831	4750	959
832	4755	953
833	4761	947
834	4770	942
835	4775	936
836	4781	931
837	4785	925
838	4790	919
839	4794	913
840	4802	907
841	4806	901
842	4812	896
843	4817	890
844	4821	884
845	4825	878
846	4830	872
847	4834	866
848	4842	861
849	4848	855
850	4853	849
851	4860	844
852	4866	838
853	4874	833
854	4879	827
855	4884	821
856	4891	816
857	4895	810
858	4906	805
859	4911	799
860	4918	793
861	4923	788
862	4928	782
863	4936	777
864	4941	771
865	4950	766
866	4956	760
867	4961	754
868	4968	749
869	4974	743
870	4983	738
871	4989	732
872	4996	726
873	5000	720
874	5005	715
875	5010	709
876	5017	703
877	5022	697
878	5030	692
879	5034	686
880	5042	681
881	5047	675
882	5054	669
883	5061	664
884	5066	658
885	5070	652
886	5077	646
887	5081	640
888	5085	634
889	5093	629
890	5098	623
891	5103	617
892	5107	612
893	5111	606
894	5115	600
895	5121	594
896	5124	588
897	5131	582
898	5139	577
899	5143	571
900	5147	565
901	5154	559
902	5157	554
903	5162	548
904	5169	542
905	5174	536
906	5179	531
907	5185	525
908	5188	519
909	5192	513
910	5198	507
911	5205	502
912	5210	496
913	5218	490
914	5221	485
915	5226	479
916	5231	473
917	5235	467
918	5240	461
919	5247	456
920	5251	450
921	5255	444
922	5261	438
923	5265	433
924	5269	427
925	5273	421
926	5280	415
927	5286	410
928	5293	404
929	5297	398
930	5301	392
931	5304	387
932	5310	381
933	5314	375
934	5318	369
935	5327	364
936	5331	358
937	5335	352
938	5341	347
939	5345	341
940	5349	335
941	5356	329
942	5359	323
943	5366	318
944	5372	312
945	5376	306
946	5381	301
947	5386	295
948	5391	289
949	5395	283
950	5401	278
951	5407	272
952	5412	266
953	5417	261
954	5421	255
955	5426	249
956	5432	244
957	5436	238
958	5441	232
959	5447	226
960	5452	221
961	5456	215
962	5461	209
963	5469	204
964	5473	198
965	5479	192
966	5483	187
967	5486	181
968	5490	175
969	5495	169
970	5499	164
971	5504	158
972	5513	152
973	5518	147
974	5524	141
975	5528	135
976	5532	130
977	5538	124
978	5543	118
979	5549	113
980	5555	107
981	5562	101
982	5566	96
983	5573	90
984	5576	84
985	5580	79
986	5585	73
987	5592	67
988	5597	62
989	5603	56
990	5607	50
991	5611	45
992	5617	39
993	5621	33
994	5624	28
995	5630	22
996	5637	16
997	5641	11
998	5647	5
999	5651	0
